"089470","HDC현대EP ","5890","-140","-2.32","477","12.35","9177","0.64","140","2.38"
"294870","HDC현대산업개발 ","28000","-50","-0.18","3622","7.73","41620","0.67","600","2.14"
"195940","HK이노엔 ","56600","-1600","-2.75","1257","45.03","33496","1.69","0","0.00"
"011200","HMM ","38050","200","0.53","103","369.42","5164","7.37","0","0.00"
"036640","HRS ","7550","210","2.86","571","13.22","4964","1.52","150","1.99"
"082740","HSD엔진 ","7480","20","0.27","184","40.65","5892","1.27","0","0.00"
"335870","IBKS제12호스팩 ","2245","-10","-0.44",,,,,"0","0.00"
"351340","IBKS제13호스팩 ","2210","15","0.68",,,,,"0","0.00"
"351320","IBKS제14호스팩 ","3310","260","8.52",,,,,"0","0.00"
"373200","IBKS제15호스팩 ","2350","0","0.00",,,,,"0","0.00"
"388790","IBKS제16호스팩 ","2280","-40","-1.72",,,,,"0","0.00"
"003560","IHQ ","1590","10","0.63",,,"808","1.97","0","0.00"
"095340","ISC ","25900","-400","-1.52","454","57.05","12209","2.12","150","0.58"
"099520","ITX-AI ","1285","0","0.00",,,"793","1.62","0","0.00"
"175330","JB금융지주 ","8370","230","2.83","1774","4.72","19069","0.44","374","4.47"
"234080","JW생명과학 ","16650","-300","-1.77","1065","15.63","8340","2.00","500","3.00"
"067290","JW신약 ","4270","0","0.00",,,"1288","3.32","0","0.00"
"001060","JW중외제약 ","26150","0","0.00",,,"9069","2.88","325","1.24"
"001067","JW중외제약2우B ","60000","-500","-0.83",,,,,"325","0.54"
"001065","JW중외제약우 ","34800","-100","-0.29",,,,,"350","1.01"
"096760","JW홀딩스 ","4005","-20","-0.50","157","25.51","2139","1.87","90","2.25"
"035900","JYP Ent. ","39350","-400","-1.01","892","44.11","5146","7.65","154","0.39"
"024840","KBI메탈 ","2160","-25","-1.14","56","38.57","2806","0.77","0","0.00"
"105560","KB금융 ","53000","1500","2.91","8809","6.02","102219","0.52","1770","3.34"
"024120","KB오토시스 ","6840","-30","-0.44","289","23.67","8921","0.77","170","2.49"
"002380","KCC ","455000","11500","2.59","72945","6.24","548119","0.83","5700","1.25"
"021320","KCC건설 ","11200","-100","-0.88","1806","6.20","18717","0.60","180","1.61"
"344820","KCC글라스 ","79500","-200","-0.25","14761","5.39","82644","0.96","2100","2.64"
"036670","KCI ","8970","-50","-0.55","987","9.09","6617","1.36","200","2.23"
"009070","KCTC ","6400","-30","-0.47","433","14.78","6783","0.94","50","0.78"
"009440","KC그린홀딩스 ","5550","-10","-0.18",,,"6349","0.87","40","0.72"
"119650","KC코트렐 ","7290","130","1.82",,,"813","8.97","0","0.00"
"044180","KD ","1965","10","0.51",,,"1602","1.23","0","0.00"
"092220","KEC ","2230","70","3.24",,,"1394","1.60","0","0.00"
"151860","KG ETS ","16150","50","0.31","768","21.03","7448","2.17","110","0.68"
"016380","KG동부제철 ","13850","-250","-1.77","668","20.73","9715","1.43","100","0.72"
"016385","KG동부제철우 ","114500","-3000","-2.55",,,,,"150","0.13"
"046440","KG모빌리언스 ","9980","-70","-0.70","628","15.89","6842","1.46","220","2.20"
